product_code,local_file,source_url
MCYTEL,MCYTEL-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYTEL-PO-01.jpg?v=1695564479
MCYTEL,MCYTEL-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYTEL-PO-02.jpg?v=1695564479
MBYDTP,MBYDTP-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYDTP-PO-ZOOM.jpg?v=1710586815
MBYDTP,MBYDTP-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYDTP-PO-01.jpg?v=1710586815
MBYDTP,MBYDTP-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYDTP-PO-02.jpg?v=1710586815
MBYDTP,MBYDTP-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYDTP-PO-03.jpg?v=1710586815
MBYKBK,MBYKBK-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYKBK-PO-ZOOM.jpg?v=1724868232
MBYKBK,MBYKBK-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYKBK-PO-02.jpg?v=1724868232
MBYKBK,MBYKBK-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYKBK-PO-01.jpg?v=1724868232
MBYKBK,MBYKBK-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYKBK-PO-03.jpg?v=1724868233
MBYMXG,MBYMXG-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYMXG-PO-ZOOM.jpg?v=1724931205
MBYMXG,MBYMXG-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYMXG-PO-03.jpg?v=1724931206
MBYMXG,MBYMXG-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYMXG-PO-02.jpg?v=1724931204
MBYMXG,MBYMXG-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYMXG-PO-01.jpg?v=1724931204
MBYNKO,MBYNKO-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYNKO-PO-ZOOM.jpg?v=1724931794
MBYNKO,MBYNKO-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYNKO-PO-03.jpg?v=1724931793
MBYNKO,MBYNKO-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYNKO-PO-02.jpg?v=1724931793
MBYNKO,MBYNKO-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYNKO-PO-01.jpg?v=1724931793
MBYTVN,MBYTVN-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYTVN-PO-ZOOM_52a9fdff-756a-4b0b-8953-bd3843b67008.jpg?v=1724932615
MBYTVN,MBYTVN-02.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYTVN-PO-03_2e34f0b0-1c43-434a-8b2c-d8a31a4c64cd.jpg?v=1724932614
MBYTVN,MBYTVN-03.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYTVN-PO-02_5a7a3df0-3542-4b0a-8e7b-c7837398fb8f.jpg?v=1724932614
MBYTVN,MBYTVN-04.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MBYTVN-PO-01_92ac0026-43c2-49e8-9c0a-0071c0d2db15.jpg?v=1724932614
MCYFMZ,MCYFMZ-01.jpg,https://cdn.shopify.com/s/files/1/0778/4018/7715/files/MCYFMZ-PO-ZOOM.jpg?v=1724933303
